Klimeck,AlAs,GaAs,InAs,AlSb,GaSb,InSb,AlP,GaP,InP,C,Si,Ge,Sn,3C-SiC,ZnSe,ZnTe,CdS,ZnS,CdSe,CdTe,Void
Esa,-3.21537,-3.53284,-9.57566,-4.5572,-7.16208,-7.80905,-8.93519,-8.63163,-7.91404,nan,-3.31789,nan,nan,nan,-11.97,nan,-11.53,-11.61,-9.63,-9.48,0
Epa,-0.09711,0.27772,0.02402,0.01635,-0.17071,-0.14734,1.13009,0.77214,0.08442,nan,1.67862,nan,nan,nan,1.51,nan,0.53,1.48,1.326,0.64,0
Esc,-9.52462,-8.11499,-2.21525,-4.118,-4.77036,-2.83599,0.06175,-1.778,-2.76662,nan,-3.31789,nan,nan,nan,1.29,nan,1.83,1.11,0.03,0.004,0
Epc,4.97139,4.57341,4.64241,4.87411,4.06643,3.91522,4.55816,4.17259,4.75968,nan,1.67862,nan,nan,nan,5.99,nan,5.87,6.52,4.73,4.72,0
Es_a,12.0555,12.3393,7.44461,9.84286,7.3219,7.43195,12.8247,11.9005,9.88869,nan,8.23164,nan,nan,nan,11.58,nan,7.13,8.08,7.53,6.24,0
Es_c,3.99445,4.31241,4.12648,7.43245,3.1233,3.5454,9.41477,7.9967,7.66966,nan,8.23164,nan,nan,nan,8.72,nan,6.87,8.02,5.72,5.72,0
Vss,-8.84261,-6.87653,-5.06858,-6.63365,-6.60955,-4.89637,-6.68397,-7.21087,-6.16976,nan,-9.59895,nan,nan,nan,-5,nan,-3.07,-6.3,-4.64,-4.19,0
Vxx,-0.01434,1.33572,0.84908,1.10706,0.58073,0.7526,2.2863,1.83129,0.75617,nan,1.69552,nan,nan,nan,3,nan,1.76,3.11,2.64,1.73,0
Vxy,4.25949,5.07596,4.68538,4.8996,4.7652,4.4803,5.12891,4.87432,4.2337,nan,4.77573,nan,nan,nan,5.99,nan,4.23,5,5.36,4.19,0
Vsa_pc,2.42476,2.85929,2.51793,4.58724,3.00325,3.33714,9.44286,6.12826,3.62283,nan,7.1423,nan,nan,nan,5.97,nan,2.17,5.16,4.57,0,0
Vsc_pa,13.20317,11.09774,6.18038,8.53398,7.78033,5.60426,5.93164,6.10944,6.9039,nan,7.1423,nan,nan,nan,4.49,nan,5.48,5.17,5.54,5.1,0
Vs_a_pc,5.83246,6.31619,3.79662,7.38446,4.69778,4.59953,10.08057,6.69771,4.61375,nan,7.25052,nan,nan,nan,5.64,nan,1.99,2.89,3.05,1.54,0
Vpa_s_c,4.60075,5.02335,2.45537,6.29608,4.09285,-2.53756,4.80831,6.33303,6.18932,nan,7.25052,nan,nan,nan,3.19,nan,3.06,1.75,2.49,2.41,0
Da,0.29145,0.32703,0.38159,0.70373,0.75773,0.85794,0.046,0.05379,0.094,nan,0.045,nan,nan,nan,0.48,nan,0.09,0.09,0.42,0,0
Dc,0.03152,0.12,0.37518,0.03062,0.15778,0.51,0.01608,0.21636,0.54,nan,0.045,nan,nan,nan,0.09,nan,0.03,0.09,0.18,0,0
